,SepHash,RACE,Plush,Clevel
1000,6.15507,17.89114,11.78515,13.6819
10000,6.1498,18.33102,11.4948,16.38062
100000,6.2265,17.17522,12.32255,16.15405
1000000,6.07608,18.58117,12.50106,16.30189
10000000,5.96315,8.85521,12.78509,15.22447
