SepHash,1月1日,1月2日,1月3日,1月4日,2月1日,2月2日,2月3日,2月4日,4月1日,4月2日,4月3日,4月4日,8月1日,8月2日,8月3日,8月4日,1月16日,2月16日,3月16日,4月16日,Jan-32,Feb-32,Mar-32,Apr-32,Jan-64,Feb-64,Mar-64,Apr-64,128-1,128-2,128-3,128-4
P1 latency,34.072,36.215,41.275,42.95404,35.483,37.197,46.413,44.989,39.401,42.44702,48.26494,52.423,43.70002,49.35,57.301,67.099,50.619,60.239,69.681,82.85504,57.97102,71.358,76.73622,99.89174,69.71502,88.878,107.69774,126.925,89.295,129.07474,187.60674,256.44118
P10 latency,63.253,67.93,78.366,81.19911,65.99611,69.83011,87.05067,85.08011,73.702,79.931,93.31867,99.058,79.671,90.168,107.213,120.50311,89.43911,110.13,127.248,152.477,97.14,131.50211,142.144,176.82207,118.182,156.461,186.204,215.462,153.488,225.77807,343.52807,476.54307
P99 latency,84.567,93.741,103.949,106.812,89.202,95.28299,116.496,112.64198,173.86799,248.44898,339.75357,147.334,256.05195,321.30099,161.84315,187.02799,311.705,197.39598,287.9699,489.07798,179.42398,281.09698,258.124,581.48463,350.58095,339.99804,609.611,1019.85,269.875,915.11934,1123.8063,1340.1063
P999 latency,92.312995,107.923994,118.812,116.582987,100.978989,107.338998,157.309141,121.538996,205.887997,322.168976,435.182072,189.411991,302.632985,431.324996,195.18518,224.096996,361.455998,258.018942,333.251525,551.846989,217.546996,454.493684,385.205315,1224.61071,498.892977,467.897441,824.593836,1233.15008,357.996804,1086.07323,1353.41126,1704.25174
P9999 latency,108.7089995,162.7309989,204.813,164.7963711,183.0459922,167.2489971,395.6770177,152.4049137,237.9529978,479.0497085,1534.610516,664.7128973,362.0859365,536.220815,558.036075,907.9366598,459.2399956,338.3059919,392.2829005,981.1329171,259.8729967,1285.699909,440.9687107,2624.234032,600.4137671,1138.674805,1693.92252,2368.288287,957.3611575,1308.651466,2121.877199,2635.762537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clevel,1月1日,1月2日,1月3日,1月4日,2月1日,2月2日,2月3日,2月4日,4月1日,4月2日,4月3日,4月4日,8月1日,8月2日,8月3日,8月4日,1月16日,2月16日,3月16日,4月16日,Jan-32,Feb-32,Mar-32,Apr-32,Jan-64,Feb-64,Mar-64,Apr-64,128-1,128-2,128-3,128-4
median latency,10.764,11.252,16.822,15.356,12.021,17.093,18.633,26.301,11.988,22.373,26.92,30.487,17.897,25.977,41.225,47.301,29.621,42.986,49.483,57.643,33.119,44.905,77.245,80.378,45.319,74.563,115.106,170.072,80.921,140.715,238.391,316.791
average latency,11.35646858,12.03283019,16.17107738,16.07987891,12.53703083,17.55685261,19.3246495,27.35566609,12.49086144,23.23636978,28.17282689,31.50999695,18.48436109,27.04461133,43.14575518,48.86806523,30.38544769,44.8650789,51.17858249,60.09610734,33.86384937,46.04100699,79.79021739,82.81207042,46.5320178,76.29338954,121.2990995,182.3757879,83.28145874,145.0162317,245.4749844,327.1328214
P1 latency,10.377,10.71,12.153,13.014,10.759,15.077,16.969,23.556,10.891,20.173,23.735,26.673,15.717,22.835,37.152,40.787,26.269,38.698,44.638,49.354,28.809,39.068,66.90574,68.933,38.46,61.026,100.555,131.65474,71.52274,135.013,230.274,308.864
P10 latency,10.492,10.858,12.527,13.608,11.08,15.474,17.627,24.468,11.16,20.855,24.831,28.064,16.371,23.882,38.674,43.641,27.514,40.31,46.486,52.756,30.564,41.199,71.557,72.208,40.57,65.519,105.656,145.96707,75.737,137.346,233.496,311.901
P99 latency,15.092,23.882,24.532,39.645,24.288,32.72096,30.57006,40.878,23.13399,37.92898,48.59006,45.915,25.87899,39.54599,65.62515,74.53093,44.02,65.68098,75.3993,91.001,48.328,59.30698,108.87552,131.53926,63.09699,122.44363,256.50493,436.69626,107.28463,169.49652,282.27852,429.8316
P999 latency,35.072996,46.916996,82.67,82.653999,41.244998,84.759992,96.411024,139.832989,41.627995,117.200998,147.47606,170.117989,70.363994,140.935992,234.61709,265.706989,113.167993,248.340981,264.80709,302.172958,130.418993,233.948994,432.777827,424.135962,191.102977,365.120654,574.041859,852.907095,391.407418,739.190253,1220.34063,1621.38882
P9999 latency,40.9779928,72.3999971,94.845,136.6979988,66.1169914,100.3979998,114.0810072,161.823976,61.945997,137.217981,183.87109,195.8829687,86.0769995,165.088997,287.454375,307.2699801,151.4549908,669.1214582,306.4490905,405.1988966,154.9519734,267.6869834,497.4600567,508.7824347,234.2449987,442.9573545,738.44071,1661.030819,441.2352583,815.7172639,1348.00252,1809.069719
