SepHash,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,4-1,4-2,4-3,4-4,8-1,8-2,8-3,8-4,16-1,16-2,16-3,16-4,32-1,32-2,32-3,32-4,64-1,64-2,64-3,64-4,128-1,128-2,128-3,128-4
average latency,14.43582907,17.80015326,21.46084193,24.91310209,17.49102491,22.20880881,29.3844582,34.35785103,23.26220121,33.87654829,46.66242806,65.97036848,33.85820095,58.33903352,96.29684453,157.6546366,58.89697648,125.9131121,218.1211639,366.6607744,83.06592261,295.7201534,532.1434147,886.638965,138.2457418,710.7966914,1191.682903,1898.80241,428.4464816,1846.729551,3324.579567,4950.28555
P1 latency,7.628,7.728,8.111,8.959,7.72,7.965,8.431,9.181,8.114,8.537,9.261,10.391,8.524,9.257,10.234,12.133,9.529,10.311,12.734,17.419,9.738,13.268,19.776,29.606,10.473,25.075,39.12,57.913,12.593,28.348,45.63,61.128
P10 latency,7.663,7.835,8.381,9.25,7.791,8.103,8.762,9.517,8.275,8.808,9.667,10.95,8.829,9.817,11.179,13.803,10.201,11.535,15.268,24.788,10.705,16.516,27.279,39.881,12.04,36.132,56.655,80.754,20.364,78.037,126.503,173.794
P99 latency,11.252,17.667,27.101,308.60816,28.062,283.11189,484.04809,544.55093,281.93892,516.97697,691.71421,1236.21,530.11893,1093.9899,1888.433,3222.5588,1090.22,2567.5399,4633.3035,7682.1196,1854.9895,5977.1998,11651.6,19275.9,3006.5086,15194.198,25068.226,38955.708,9450.0097,38204.754,65859.395,92755.351
P999 latency,1579.98,2235.10997,2826.4,3250.29987,2195.68989,2979.03987,3836.5806,4630.40902,3142.82999,4760.77973,6513.9524,9491.81894,4597.46997,8268.4396,13724.2045,22167.3986,7559.22976,17569.7984,28257.509,43752.7991,9481.11939,37726.0968,59018.1717,91944.7974,14741.6997,70949.6988,101557.063,152166.254,39772.698,129819.127,200325.57,272595.635
P9999 latency,6239.919942,7736.559997,8666.78,9860.699439,7637.749823,9158.109859,10429.20024,13167.29869,9381.619234,13601.59973,19658.10006,26346.59987,12456.09994,23245.69992,34661.2564,53200.89992,26921.99899,44649.0996,60729.7027,107502.9988,22407.49806,96944.09574,148503.0252,206178.999,38401.39874,148713.9999,203135.2142,299773.5273,87808.49582,251104.1651,348354.1785,452965.0381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clevel,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,4-1,4-2,4-3,4-4,8-1,8-2,8-3,8-4,16-1,16-2,16-3,16-4,32-1,32-2,32-3,32-4,64-1,64-2,64-3,64-4,128-1,128-2,128-3,128-4
throughputs,76.47,133.01,173.64,224.53,132.2,241.27,240.55,289.48,179.58,312.03,388.89,435.85,281.69,416.06,539.73,574.73,386.99,571.36,591.47,658.62,983.51,1565.03,1573.46,2234.16,1787.66,2711.56,3255.15,2771.2,4263.35,6770.84,7013.38,7187.68
median latency,12.8,13.334,18.908,20.108,14.025,18.58,23.448,26.988,17.88,24.544,31.179,36.35,23.967,33.566,41.29,50.846,33.647,46.863,58.583,71.513,45.578,61.085,81.657,106.552,58.938,93.679,137.013,185.823,100.315,180.831,277.898,368.542
average latency,13.70953051,14.6831766,19.244373,19.91468499,15.36865854,19.46831312,25.0460829,28.6052584,18.8489832,25.17365456,32.57101354,38.72373611,26.32418299,38.29547709,43.96749311,52.79238648,38.63739472,48.65407301,64.35795883,75.72951886,47.80062652,60.70779631,84.02484375,109.8818398,60.43854194,98.12583029,144.5254205,206.9882241,102.2481653,179.2142293,281.0276288,368.0191552
P1 latency,12.442,12.775,14.078,15.165,12.694,14.45,17.908,18.607,13.447,19.136,23.827,27.781,19.071,27.024,34.925,40.39,27.112,36.171,46.791,56.005,32.677,44.458,61.993,69.455,42.857,63.685,88.015,117.56,68.845,107.532,176.1309,231.924
P10 latency,12.543,12.946,15.959,15.614,12.986,17.519,20.57,21.798,14.099,20.303,26.903,30.564,20.38,29.603,37.015,43.587,29.556,40.145,51.797,60.752,37.088,52.12,72.62,86.999,50.112,78.01,112.805,152.773,84.779,149.596,212.62,332.814
P99 latency,18.276,19.304,27.66,31.787,25.147,28.702,60.39739,61.88797,60.073,51.58999,100.36103,182.03698,81.14499,153.312,136.815,123.709,147.268,121.68599,247.166,182.856,132.581,78.867,122.40363,254.286,117.87799,289.799,362.16163,482.159,217.699,383.079,717.9271,435.22927
P999 latency,28.209999,30.030999,59.802,91.916,50.408999,38.242999,127.98,168.436998,69.930999,107.869,159.523,233.812998,98.921998,227.877997,250.390165,300.879993,255.320997,317.45099,461.47524,542.677988,230.775995,92.731999,402.477504,571.227999,249.478999,416.122998,608.817189,675.370699,306.032998,725.046016,911.580255,743.940508
P9999 latency,32.4349999,34.426,76.986,116.0019987,60.3299989,55.4509999,155.8270063,211.4829987,100.9969997,142.1849992,970.6390153,1468.219914,151.061999,1329.999977,896.223531,1101.859972,1047.10995,781.8569433,1304.281905,1035.489981,1053.73992,1048.899989,794.907576,1415.599958,426.3569812,1007.909985,1229.090063,1930.281783,678.0679146,2028.536797,2080.97357,3156.052827
