RACE,244.38,464.39,687.14,826.07,460.64,892.52,1274.72,1538.54,745.08,1590.76,1898.6,2176.15,1357.21,2473.17,3118.23,3703.73,2320.34,4273.25,4646.47,3950.8,6747.55,12238.21,10485.95,14784.31,24231.99,38892.51,47129.1,40483.51,85694.99,57428.48,80218.38,99710.3
Base,54.83,77.95,89.46,96.4,98.84,126.42,134.61,141.69,156.53,182.89,188.63,191.91,191.89,198.36,196.33,196.88,197.79,195.76,194.73,194.76,397.46,396.63,390.33,394.44,772.12,791.38,786.64,788.91,1518.08,1553.59,1550.95,1547.8
+FpTable,186.8,358.78,499.67,569.23,367.56,677.15,922.65,1035.14,676.16,1205.45,1741.32,1739.43,1182.35,1949.31,2482.5,2850.93,1915.46,2829.51,3599.73,3725.26,6453.65,8823,3715.91,8907.89,18378.91,16620.42,15420.34,14805.6,34337.07,37976.82,35163.17,35309.98
+BitMap,207.24,393.48,527.21,619.75,396.1,730.77,973.45,1125.49,726.49,1299.15,1639.41,1891.71,1245.34,1432.36,2767.45,1507.37,2136.77,972.48,4434.98,4681.82,3296.45,4341.27,13871.5,14926.77,12848.33,11821.08,30103.15,23259.95,67370.65,80942.06,79793.06,78183.85
