Base,54.83,77.95,89.46,96.4,98.84,126.42,134.61,141.69,156.53,182.89,188.63,191.91,191.89,198.36,196.33,196.88,197.79,195.76,194.73,194.76,397.46,396.63,390.33,394.44,772.12,791.38,786.64,788.91,1518.08,1553.59,1550.95,1547.8
FpTable,186.8,358.78,499.67,569.23,367.56,677.15,922.65,1035.14,676.16,1205.45,1741.32,1739.43,1182.35,1949.31,2482.5,2850.93,1915.46,2829.51,3599.73,3725.26,6453.65,8823,3715.91,8907.89,18378.91,16620.42,15420.34,14805.6,34337.07,37976.82,35163.17,35309.98
BitMap,234.59,449.35,614.46,718.59,451.7,830.05,1137.15,1317.28,773.13,1517.57,1849.74,2133.67,1478.28,957.24,1128.19,1030.89,2423.37,3972.5,4850.77,4158.52,5877.07,9603.91,5746.77,8728.22,38996.02,47553.9,38061.89,33209.31,81347.46,57128.99,88537.2,68753.75
RACE,244.38,464.39,687.14,826.07,460.64,892.52,1274.72,1538.54,745.08,1590.76,1898.6,2176.15,1357.21,2473.17,3118.23,3703.73,2320.34,4273.25,4646.47,3950.8,6747.55,12238.21,10485.95,14784.31,24231.99,38892.51,47129.1,40483.51,85694.99,57428.48,80218.38,99710.3
