SepHash,186.9,308.3,383.05,417.42,324.65,510.26,598.4,633.14,434.96,621.98,676.2,677.47,561.21,738.4,859.94,858.36,695.44,766.08,850.61,989.39,1629.41,1979.74,2159.6,2607.1,3245.28,5327.79,4953.18,4973.84,5714.86,9463.29,9055.53,10301.29
RACE,74.97,136.73,181.33,216.74,142.16,251.28,309.56,340.42,225.62,374.37,398.35,412.18,356.93,481.53,484.88,419.97,517.33,505.73,368.03,289.67,1202.6,876.7,384.93,238.88,2966.69,823.95,441.87,273.54,3036.45,913.81,495.42,381.35
Clevel,76.47,133.01,173.64,224.53,132.2,241.27,240.55,289.48,179.58,312.03,388.89,435.85,281.69,416.06,539.73,574.73,386.99,571.36,591.47,658.62,983.51,1565.03,1573.46,2234.16,1787.66,2711.56,3255.15,2771.2,4263.35,6770.84,7013.38,7187.68
Plush,57.77,94.35,116.99,132.33,97.58,150.75,185.22,221.46,155.96,222.22,261,254,162,219.01,274.1,252.05,205,307,266,216,774.29,0,0,276.79,1821.11,0,0,530.27,2246.51,0,0,752.93
