SepHash,234.59,449.35,614.46,718.59,451.7,830.05,1137.15,1317.28,773.13,1517.57,1849.74,2133.67,1478.28,957.24,1128.19,1030.89,2423.37,3972.5,4850.77,4158.52,5877.07,9603.91,5746.77,8728.22,38996.02,44553.9,38061.89,33209.31,81347.46,57128.99,88537.2,68753.75
RACE,244.38,464.39,687.14,826.07,460.64,892.52,1274.72,1538.54,745.08,1590.76,1898.6,2176.15,1357.21,2473.17,3118.23,3703.73,2320.34,4273.25,4646.47,3950.8,6747.55,12238.21,10485.95,14784.31,24231.99,38892.51,47129.1,40483.51,85694.99,99710.3,57428.48,80218.38
CLevel,74.19,150.4,219.57,170.47,146.49,278.33,219.71,317.27,269.26,380.06,400.08,454.07,377.8,505.45,524.78,691.86,502.49,755.81,853.07,727.13,1466.03,2527.04,2238.47,2896.3,4284.06,6053.02,1755.66,3820.84,11186.43,12507.48,12343.58,12160.13
Plush,12.32,23.22,32.35,39.58,23.86,44.36,62.75,75.92,43.41,85.62,116.58,135.36,87.6,132.63,195.83,178.86,137.75,222.01,232.56,285.69,440.41,789.59,759.64,927.44,1195.54,2192.4,1909.19,1589.52,5100.06,3801.52,3207.99,3844.94
