RACE,SepHash,CLevel,Plush
0.710831,0.983218,0.404346,0.474818
0.715301,0.983428,0.406889,0.476779
0.719772,0.983635,0.409432,0.478482
0.724242,0.983839,0.411975,0.479743
0.728713,0.984041,0.414518,0.48227
0.733184,0.98424,0.417061,0.48406
0.737654,0.984437,0.419604,0.485841
0.742125,0.98327,0.422147,0.487637
0.746596,0.984147,0.42469,0.489058
0.751066,0.985013,0.427233,0.49008
0.755537,0.984533,0.429776,0.49263
0.760008,0.984058,0.43232,0.493794
0.747162,0.98491,0.434863,0.494951
0.751531,0.984438,0.437406,0.496099
0.755901,0.984625,0.439949,0.498247
0.754573,0.98481,0.442492,0.49993
0.753265,0.985637,0.445035,0.501972
0.751976,0.985173,0.447578,0.502649
0.724169,0.985351,0.450121,0.503251
0.713135,0.985528,0.452664,0.504671
0.70255,0.98444,0.455207,0.506427
0.692388,0.985875,0.45775,0.507167
0.673839,0.984797,0.460294,0.508357
0.652381,0.985594,0.462837,0.509175
0.624996,0.985147,0.46538,0.511332
0.60008,0.985933,0.467923,0.512888
0.574217,0.986709,0.470466,0.513979
0.545157,0.984441,0.473009,0.515771
0.524194,0.986428,0.475552,0.516962
0.512114,0.986589,0.478095,0.518396
0.496154,0.984955,0.480638,0.519252
0.477135,0.986907,0.483181,0.520444
0.461618,0.985289,0.485724,0.521583
0.45641,0.98663,0.488267,0.522669
0.455049,0.985616,0.490811,0.524455
0.448275,0.988103,0.493354,0.52596
0.445252,0.985356,0.495897,0.527916
0.444032,0.986093,0.49844,0.529019
0.446297,0.986249,0.500983,0.530733
0.448563,0.986974,0.503526,0.532234
0.450828,0.98542,0.506069,0.533156
0.453093,0.986143,0.508612,0.533594
0.455359,0.98798,0.511155,0.535348
0.457624,0.987565,0.513698,0.535887
0.458097,0.986596,0.516241,0.535653
0.460353,0.987298,0.518785,0.537542
0.46261,0.987442,0.521328,0.538678
0.464866,0.987037,0.523871,0.540851
0.467123,0.986088,0.526414,0.542702
0.46938,0.98678,0.528957,0.544205
0.471636,0.986924,0.5315,0.545793
0.473893,0.988141,0.534043,0.547992
0.47615,0.988277,0.536586,0.548632
0.478406,0.986814,0.539129,0.550134
0.480663,0.988016,0.541672,0.550785
0.48292,0.987095,0.544215,0.553004
0.485176,0.988284,0.546758,0.553346
0.487433,0.986846,0.549302,0.553686
0.489689,0.988547,0.551845,0.553322
0.491946,0.987641,0.554388,0.552759
0.494203,0.988805,0.556931,0.554261
0.496459,0.987906,0.559474,0.555599
0.498716,0.989568,0.562017,0.55673
0.500973,0.987658,0.56456,0.558551
0.503229,0.987789,0.567103,0.56039
0.505486,0.987414,0.569646,0.560896
0.507743,0.989051,0.572189,0.562161
0.509999,0.988674,0.574732,0.562389
0.512256,0.988301,0.577275,0.563867
0.514512,0.986938,0.579819,0.565901
0.516769,0.98855,0.582362,0.567707
0.519026,0.988182,0.584905,0.56917
0.521282,0.985317,0.587448,0.570922
0.523539,0.985904,0.589991,0.57145
0.525796,0.986037,0.592534,0.572266
0.528052,0.985616,0.595077,0.572921
0.530309,0.984686,0.59762,0.574021
0.532565,0.984619,0.600163,0.575361
0.534822,0.984179,0.602706,0.575711
0.537079,0.984621,0.605249,0.577332
0.539335,0.983184,0.607793,0.578209
0.541592,0.980889,0.610336,0.579664
0.543849,0.977292,0.612879,0.579638
0.546105,0.975991,0.615422,0.580256
0.548362,0.978951,0.617965,0.581205
0.550619,0.977716,0.620508,0.581882
0.552875,0.980177,0.623051,0.583154
0.555132,0.979409,0.625594,0.584555
0.557388,0.980471,0.628137,0.585329
0.559645,0.978798,0.63068,0.586032
0.561902,0.977587,0.633223,0.58744
0.564158,0.977291,0.635766,0.588755
0.566415,0.977447,0.63831,0.589821
0.568672,0.980292,0.640853,0.590528
0.570928,0.981325,0.643396,0.591784
0.573185,0.982348,0.645939,0.593013
0.575442,0.979834,0.648482,0.593773
0.577698,0.978212,0.651025,0.594109
0.579955,0.977921,0.653568,0.595524
0.582211,0.978071,0.328061,0.595479
0.584468,0.977782,0.329333,0.596355
0.586725,0.982272,0.330604,0.597799
0.588981,0.981972,0.331876,0.59871
0.591238,0.980815,0.333147,0.599398
0.593495,0.978373,0.334419,0.599951
0.595751,0.978518,0.33569,0.601157
0.598008,0.979516,0.336962,0.602951
0.600264,0.97923,0.338233,0.603316
