SepHash,159.3,302.35,411.16,472.31,308.53,575.23,767.08,884.46,586.49,1052.96,1331.73,1530.09,1058.95,1789.75,2228.58,2642.25,1761.01,2999.62,1590.79,3963.83,6095.18,10319.4,12547.55,11064.6,19655.61,28893.68,20695.45,28094.13,56161.16,51998.87,25620.35,41004.5
RACE,156.03,294.42,404.06,481.58,301,564.82,775.63,923.6,576.95,1046.83,1419.75,1599.26,1046.37,1856.79,2349.23,2753.09,1775.62,2812.86,2899.2,1888.59,5975.46,9525.87,11708.61,11435.24,19751.35,32352.07,30903.31,25210.69,67899.36,62808.94,63371.73,69204.72
Plush,14.38,27.88,38.5,46.82,28.22,52.89,72.53,101.6,52,96,137,99.72,162.24,226,251,161,256,317,327,327,443.36,0,0,820.59,1666.05,0,0,1643.57,5200.35,0,0,2212.71
Clevel,66.1,113.92,120.52,184.32,115.1,217.12,222.51,265.06,149.04,272.61,329.6,365.66,298.06,417.73,497.84,543.56,424.33,582.85,570.79,686.63,1180.46,1893.25,2105.34,2148.62,3884.95,4573.37,1446.24,1731.2,7417.05,7357.91,6357.83,3745.91
