SepHash,207.24,393.48,527.21,619.75,396.1,730.77,973.45,1125.49,726.49,1299.15,1639.41,1891.71,1245.34,1432.36,2767.45,1507.37,2136.77,972.48,4434.98,4681.82,3296.45,4341.27,13871.5,14926.77,12848.33,11821.08,30103.15,23259.95,67370.65,82942.06,79793.06,78183.85
RACE,244.38,464.39,687.14,826.07,460.64,892.52,1274.72,1538.54,745.08,1590.76,1898.6,2176.15,1357.21,2473.17,3118.23,3703.73,2320.34,4273.25,4646.47,3950.8,6747.55,12238.21,10485.95,14784.31,24231.99,38892.51,44129.1,40483.51,85694.99,57428.48,80218.38,92710.3
Clevel,85.61,145.05,160.34,268.86,143.18,234.18,265.07,322.95,203.45,329.03,382.1,443.89,365.25,440.71,542.52,760.84,521.1,785.91,961.2,886.06,1490.31,2323.05,2359.46,2872,3227.27,3555.88,4165.44,4845.39,9355.33,11047.59,10817.69,11120.05
Plush,8.11,15.74,1,26.17,15.77,29.44,1,49.7,30.14,59.96,1,89.77,56.16,89.35,1,144.91,79.02,162.07,1,161.7,265.8,547.3,1,724.07,1022.92,1561.3,1,1567.45,3341.16,3181.64,1,3893.1
