SepHash,197.74,378.28,514.5,587.97,377.53,726.14,949.21,1095.54,723.87,1313.52,1680.64,1831.6,1317.25,2207.14,2780.64,3202.95,2147.22,3467.14,4532.15,5521.31,3919.92,12748.57,14853.24,7128.49,23849.34,18422.27,13899.7,25024.51,45821.77,74343.55,40916,42763.74
RACE,194.97,377.82,525.03,641.23,376.5,718.64,1000.68,1210.96,724.74,1333.94,1780.86,2050.63,1314.65,2358.61,3546.14,4040.55,2599.94,4018.23,4019.27,4058.87,7024.17,12307.25,14580.76,13845,23926.46,37778.31,34211.47,30768.3,79544.22,59481.41,75197.06,81000
Plush,8.46,16.21,23,27.78,16.61,31.42,43.85,59.26,31.36,58.16,81,93,60.09,104.93,127,151,103.98,160,165,184,274.57,729.59,0,0,903.8,1698.65,0,0,3424.81,4270.93,0,0
Clevel,66.99,129.87,133.31,211.33,127.88,166.05,250.57,296.94,184.18,278.61,372.55,386.35,311.15,462.56,534.35,578.37,458.88,717.39,554.99,921.37,1218.73,2210.23,2312.08,2276,3842.02,4360.12,2825.68,3303.73,8748.4,8137.8,7075.57,5220.36
